Ras,sering mengalami gatal-gatal,sering menggaruk-garuk tubuh,mengalami kemerahan pada kulit,memiliki kerak pada tubuh,mengalami lelah dan lemas,memiliki infeksi pada kulit,sering menjilati tubuhnya,memiliki bercak bersisik pada kulit,sering menggelengkan kepala secara tidak wajar,bulu rontok,memiliki luka pada bagian tubuh tertentu,memiliki ekor yang berminyak,mengalami bengkak pada bagian tubuh tertentu,bersin,mengalami gangguan pada pencernaan,sering menggigit,memiliki kotoran menumpuk di bagian telinga,sering dihinggapi tungau di bagian bulunya,memiliki cairan kecoklatan di bagian ekornya,memiliki butiran telur-telur tungau di bagian bulunya,kucing pernah mengalami scabies,kucing sedang mengalami scabies
0,0.0,0,0,0,1.0,0.0,1.0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
0,0.0,0,0,0,1.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
1,0.0,1,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,1.0,1,0,0,0,1.0,0.0
2,1.0,1,0,0,1.0,0.0,1.0,0,0,0,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,1,0,0.0,0.0,1.0,0,0,1,0.0,1,0,0.0,0,1.0,1,0,0,0,0.0,0.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,1.0,1,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,1,1.0,0,1,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,0.0,0,0.0,0,1,0,1,1.0,0.0
2,0.0,0,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,1.0,1,1,1,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,1.0,1,1,0,0.0,0.0,1.0,0,0,0,1.0,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0
1,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,1,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,0.0,1,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,1,0.0,0.0
2,1.0,1,1,1,1.0,1.0,1.0,1,0,1,0.0,0,0,1.0,1,1.0,1,0,0,0,0.0,1.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,1,1,0.0,1.0,1.0,1,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,1.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,1,1.0,1,0,0.0,1,0.0,0,0,0,0,1.0,0.0
2,0.0,1,0,1,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
1,1.0,1,1,1,0.0,1.0,1.0,1,1,1,1.0,0,0,0.0,1,0.0,0,0,0,0,0.0,1.0
2,0.0,1,0,0,0.0,1.0,1.0,0,1,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
1,1.0,1,1,1,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,1,1,1,1,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,1.0,1,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
0,0.0,1,1,0,0.0,0.0,1.0,0,0,1,0.0,0,0,1.0,1,1.0,0,0,0,0,0.0,0.0
1,0.0,0,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,0.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
1,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
0,1.0,1,0,0,0.0,1.0,1.0,0,1,1,1.0,1,0,0.0,1,0.0,0,0,0,1,0.0,0.0
0,1.0,1,1,1,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
1,0.0,1,0,0,1.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,1.0,0.0
2,1.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
0,1.0,1,1,1,0.0,0.0,1.0,0,0,0,1.0,0,0,0.0,0,0.0,0,1,0,0,1.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,1,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,1,1,0,0,0.0,0.0
0,1.0,1,0,0,0.0,0.0,1.0,0,1,1,1.0,1,0,0.0,0,0.0,1,0,1,0,1.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,1,1,1.0,0.0,1.0,0,1,1,1.0,0,0,0.0,1,1.0,1,0,0,0,0.0,1.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,1.0,0,0,1.0,0,0.0,1,0,0,0,0.0,0.0
1,1.0,1,0,1,0.0,0.0,1.0,0,0,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
2,1.0,1,1,1,0.0,0.0,1.0,1,0,1,1.0,0,1,0.0,1,0.0,1,0,1,0,1.0,0.0
0,0.0,0,0,0,1.0,0.0,0.0,0,1,1,0.0,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,0,1,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
0,1.0,1,0,1,1.0,1.0,1.0,0,0,1,1.0,0,0,0.0,0,0.0,1,0,0,0,0.0,1.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,0,0,0,0,1.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,1.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,1,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,0,1.0,0.0,1.0,0,1,0,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,0.0
1,0.0,0,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,1,1,1.0,1.0,0.0,1,0,1,1.0,0,0,0.0,1,0.0,1,1,0,1,0.0,1.0
2,1.0,1,1,1,0.0,1.0,1.0,1,0,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,1,0,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
0,0.0,1,0,0,1.0,0.0,0.0,0,1,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,0.0
1,1.0,1,0,1,1.0,0.0,1.0,0,1,1,1.0,1,1,1.0,1,1.0,1,0,1,0,1.0,1.0
2,1.0,1,1,1,0.0,1.0,1.0,1,1,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
1,1.0,1,1,1,0.0,1.0,1.0,1,1,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
0,1.0,1,1,1,0.0,1.0,1.0,1,1,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
1,1.0,1,1,1,0.0,1.0,1.0,1,0,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
0,1.0,1,1,1,0.0,1.0,1.0,1,0,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
2,1.0,1,1,1,0.0,1.0,1.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
1,1.0,1,1,1,0.0,1.0,1.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
0,1.0,1,1,1,0.0,1.0,1.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
1,1.0,1,1,1,1.0,1.0,0.0,1,0,1,1.0,0,0,0.0,1,0.0,1,1,0,1,0.0,1.0
0,1.0,1,1,1,1.0,1.0,0.0,1,0,1,1.0,0,0,0.0,1,0.0,1,1,0,1,0.0,1.0
2,1.0,1,0,1,0.0,1.0,0.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
1,1.0,1,0,1,0.0,1.0,0.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
0,1.0,1,0,1,0.0,1.0,0.0,1,0,0,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
2,1.0,1,1,1,1.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1,1.0,0,1,0,1,1.0,1.0
1,1.0,1,1,1,1.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1,1.0,0,1,0,1,0.0,1.0
0,1.0,1,1,1,1.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1,1.0,0,1,0,1,0.0,1.0
1,1.0,1,1,1,0.0,1.0,0.0,1,0,1,1.0,0,0,0.0,0,1.0,1,1,0,1,0.0,1.0
0,1.0,1,1,1,0.0,1.0,0.0,1,0,1,1.0,0,0,0.0,0,1.0,0,1,0,1,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
1,1.0,1,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,0.0
1,0.0,1,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,1,0,0,1.0,0.0,1.0,0,0,0,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0
0,1.0,1,0,1,1.0,0.0,1.0,1,1,1,1.0,1,0,0.0,1,1.0,1,1,0,1,1.0,1.0
2,0.0,1,1,0,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
2,1.0,1,0,1,1.0,1.0,1.0,0,0,0,1.0,1,1,0.0,1,0.0,1,0,1,0,1.0,1.0
2,1.0,1,0,0,1.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,0.0,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,0,0,1.0,1.0,1.0,1,1,1,1.0,1,1,0.0,1,0.0,1,1,1,0,1.0,1.0
2,0.0,0,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0,1.0,0.0
2,0.0,0,0,0,1.0,0.0,1.0,0,0,1,0.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0
0,0.0,0,0,0,1.0,0.0,0.0,0,0,1,0.0,0,0,0.0,0,0.0,1,0,0,0,0.0,0.0
0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,1.0,1,0,0,0,0.0,0.0
2,0.0,0,0,1,1.0,0.0,1.0,0,0,0,0.0,0,0,1.0,0,0.0,0,0,0,0,1.0,0.0
1,0.0,0,0,0,0.0,0.0,1.0,0,1,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
2,1.0,1,1,1,1.0,0.0,1.0,0,1,1,1.0,1,1,0.0,1,0.0,1,1,1,0,1.0,1.0
2,0.0,0,0,0,0.0,0.0,1.0,0,0,1,1.0,0,0,1.0,0,0.0,0,0,0,0,0.0,0.0
1,0.0,0,0,1,0.0,0.0,1.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
1,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
0,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
1,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,1,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
2,1.0,1,1,1,0.0,1.0,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
0,1.0,1,1,1,0.0,1.0,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
0,1.0,1,1,1,0.0,1.0,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
1,1.0,1,1,1,0.0,1.0,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0,0,0,0,0.0,1.0
